,Nom,Infos,Prix,Date
69,Gainward GeForce RTX 3050 Pegasus 8GB (LHR),8 Go GDDR6 - DVI/HDMI/DisplayPort - PCI Express (NVIDIA GeForce RTX 3050),229€95,2024-10-20
70,Gainward GeForce RTX 4060 Pegasus,8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060),329€95,2024-10-20
71,Gainward GeForce RTX 4060 Python II,8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060),299€95,2024-10-20
72,Gainward GeForce RTX 4060 Ti 16GB Panther,16 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti),499€95,2024-10-20
73,Gainward GeForce RTX 4070 Ghost GDDR6,12 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070),579€95,2024-10-20
74,Gainward GeForce RTX 4070 Ghost OC,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070),649€95,2024-10-20
75,Gainward GeForce RTX 4070 Ghost OC GDDR6,12 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070),599€95,2024-10-20
76,Gainward GeForce RTX 4070 Ti SUPER Panther OC,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),949€95,2024-10-20
77,Gainward GeForce RTX 4070 Ti SUPER Phantom,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),999€95,2024-10-20
78,Gainward GeForce RTX 4070 Ti SUPER Phoenix,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),949€95,2024-10-20
79,Gainward GeForce RTX 4070 Ti SUPER Phoenix Golden Sample,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),979€95,2024-10-20
80,Gainward GeForce RTX 4070 Ti SUPER Python III OC,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),939€95,2024-10-20
81,Gainward GeForce RTX 4070 SUPER Ghost,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),649€95,2024-10-20
82,Gainward GeForce RTX 4070 SUPER Ghost OC,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),699€95,2024-10-20
83,Gainward GeForce RTX 4080 SUPER Panther OC,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4080 SUPER),1 149€95,2024-10-20
84,Gainward GeForce RTX 4080 SUPER Python III OC,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4080 SUPER),1 149€95,2024-10-20
85,Gainward GeForce RTX 4090 Phantom,24 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4090),1 979€95,2024-10-20
86,Gigabyte AORUS GeForce RTX 4070 SUPER MASTER 12G,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),819€95,2024-10-20
87,Gigabyte GeForce RTX 3050 OC Low Profile 6G,6 Go GDDR6 - Dual HDMI/ Dual DisplayPort - PCI Express (NVIDIA GeForce RTX 3050),229€95,2024-10-20
88,Gigabyte GeForce RTX 3050 WINDFORCE OC 6G,6 Go GDDR6 - Dual HDMI/ Dual DisplayPort - PCI Express (NVIDIA GeForce RTX 3050),209€95,2024-10-20
89,Gigabyte GeForce RTX 3060 GAMING OC 12G (rev 2.0) (LHR),12 Go GDDR6 - Dual HDMI/Dual DisplayPort - PCI Express (NVIDIA GeForce RTX 3060),339€95,2024-10-20
90,Gigabyte GeForce RTX 4060 AERO OC 8G,8 Go GDDR6 - Dual HDMI/Dual DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060),389€95,2024-10-20
91,Gigabyte GeForce RTX 4060 EAGLE OC 8G,8 Go GDDR6 - Dual HDMI/Dual DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060),339€95,2024-10-20
92,Gigabyte GeForce RTX 4060 GAMING OC 8G,8 Go GDDR6 - Dual HDMI/Dual DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060),369€95,2024-10-20
